NAME,GEO_ID_local,Total Population,Income to Poverty Level: Under 0.50,Income to Poverty Level: 0.50 to 0.99,Income to Poverty Level: 1.00 to 1.24,Income to Poverty Level: 1.25 to 1.49,Total Male 75 to 79 years,Total Male 80 to 84 years,Total Male 85 and older,Total Female 75 to 79 years,Total Female 80 to 84 years,Total Female 85 and older,Total Not Hispanic or Latino,Total Not Hispanic or Latino White alone,Total Hispanic or Latino,Total Hispanic or Latino White alone,"Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English ""not at all""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""not at all""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English ""not at all""",state,county,tract,block group,poverty_ratio_sum,over_75_sum,total_minority_non_hispanic,total_minority_hispanic,total_minority,do_not_speak_english_very_well,countytract,Percent with a disability,Residents with a disability,poverty_ratio_sum_share_local,over_75_sum_share_local,total_minority_share_local,Total Hispanic or Latino_share_local,do_not_speak_english_very_well_share_local,Residents with a disability_share_local,GEOID,RN_Name,in_RN,GEO_ID_regional,poverty_ratio_sum_share_regional,over_75_sum_share_regional,total_minority_share_regional,Total Hispanic or Latino_share_regional,do_not_speak_english_very_well_share_regional,Residents with a disability_share_regional
"Block Group 2, Census Tract 1009.26, Chesterfield County, Virginia",510411009262,1878,25,0,0,0,7,39,17,7,41,0,1688,1366,190,160,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,100926,2,25,111,322,30,352,23,41.100926,9.206690194874941,173.0,0.013312034078807242,0.05910543130990415,0.18743343982960597,0.10117145899893504,0.012247071352502662,0.09211927582534611,510411009262,Tri-Cities Region,1,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
"Block Group 3, Census Tract 1009.26, Chesterfield County, Virginia",510411009263,1639,27,11,0,0,33,0,0,22,0,24,1639,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,100926,3,38,79,339,0,339,0,41.100926,9.206690194874941,151.0,0.023184868822452714,0.04820012202562538,0.20683343502135448,0.0,0.0,0.0921293471629042,510411009263,Tri-Cities Region,1,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
"Block Group 4, Census Tract 1009.26, Chesterfield County, Virginia",510411009264,1452,14,0,0,0,0,22,119,64,79,14,1370,1215,82,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,100926,4,14,298,155,18,173,0,41.100926,9.206690194874941,134.0,0.009641873278236915,0.20523415977961432,0.11914600550964187,0.05647382920110193,0.0,0.09228650137741047,510411009264,Tri-Cities Region,1,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
"Block Group 1, Census Tract 1009.28, Chesterfield County, Virginia",510411009281,3743,50,143,75,13,32,30,0,76,23,48,3454,2139,289,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,100928,1,281,209,1315,158,1473,0,41.100928,11.292270531400966,423.0,0.07507347047822602,0.05583756345177665,0.39353459791611006,0.07721079348116484,0.0,0.11301095378039006,510411009281,Tri-Cities Region,1,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
"Block Group 2, Census Tract 1009.28, Chesterfield County, Virginia",510411009282,2250,90,66,105,66,0,46,61,34,121,115,2216,1281,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,51,41,100928,2,327,377,935,20,955,53,41.100928,11.292270531400966,254.0,0.14533333333333334,0.16755555555555557,0.42444444444444446,0.015111111111111112,0.023555555555555555,0.11288888888888889,510411009282,Tri-Cities Region,1,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
"Block Group 3, Census Tract 1009.28, Chesterfield County, Virginia",510411009283,2287,123,84,20,0,108,53,0,85,138,86,2287,1761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,51,41,100928,3,227,470,526,0,526,19,41.100928,11.292270531400966,258.0,0.09925666812418014,0.2055094009619589,0.22999562745955401,0.0,0.008307826847398338,0.11281154350677744,510411009283,Tri-Cities Region,1,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
"Block Group 1, Census Tract 1009.29, Chesterfield County, Virginia",510411009291,899,0,18,75,1,0,0,0,1,0,18,833,430,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,100929,1,94,19,403,0,403,0,41.100929,7.379092571048695,66.0,0.10456062291434928,0.021134593993325918,0.4482758620689655,0.07341490545050056,0.0,0.07341490545050056,510411009291,Tri-Cities Region,1,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
"Block Group 2, Census Tract 1009.29, Chesterfield County, Virginia",510411009292,2579,0,38,0,0,0,15,0,34,0,101,2423,2131,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,100929,2,38,150,292,156,448,0,41.100929,7.379092571048695,190.0,0.014734393175649476,0.05816207832493214,0.17371074059713068,0.06048856145792943,0.0,0.07367196587824738,510411009292,Tri-Cities Region,1,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
"Block Group 3, Census Tract 1009.29, Chesterfield County, Virginia",510411009293,1446,75,0,49,0,58,18,0,16,0,17,1446,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,100929,3,124,109,236,0,236,0,41.100929,7.379092571048695,107.0,0.08575380359612725,0.07538035961272475,0.1632088520055325,0.0,0.0,0.0739972337482711,510411009293,Tri-Cities Region,1,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
"Block Group 4, Census Tract 1009.29, Chesterfield County, Virginia",510411009294,1093,18,82,0,0,0,12,17,13,0,28,1060,752,33,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,100929,4,100,70,308,33,341,16,41.100929,7.379092571048695,81.0,0.09149130832570906,0.06404391582799634,0.3119853613906679,0.03019213174748399,0.01463860933211345,0.07410795974382434,510411009294,Tri-Cities Region,1,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
