NAME,GEO_ID,B01003_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,B01001_023E,B01001_024E,B01001_025E,B01001_047E,B01001_048E,B01001_049E,B03002_002E,B03002_003E,B03002_012E,B03002_013E,B16004_007E,B16004_008E,B16004_012E,B16004_013E,B16004_017E,B16004_018E,B16004_022E,B16004_023E,B16004_029E,B16004_030E,B16004_034E,B16004_035E,B16004_039E,B16004_040E,B16004_044E,B16004_045E,B16004_051E,B16004_052E,B16004_056E,B16004_057E,B16004_061E,B16004_062E,B16004_066E,B16004_067E,state,county,tract,block group,poverty_ratio_sum,over_75_sum,total_minority_non_hispanic,total_minority_hispanic,total_minority,do_not_speak_english_very_well
"Block Group 1, Census Tract 420, Virginia Beach city, Virginia",518100420001,1429,15,27,0,0,96,7,0,57,27,0,1372,1331,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,51,810,42000,1,42,187,41,0,41,14
"Block Group 2, Census Tract 420, Virginia Beach city, Virginia",518100420002,1054,10,0,46,0,19,11,7,8,5,7,1054,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42000,2,56,57,118,0,118,0
"Block Group 3, Census Tract 420, Virginia Beach city, Virginia",518100420003,1347,0,0,0,23,15,0,7,32,0,0,1124,1081,223,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42000,3,23,54,43,183,226,0
"Block Group 1, Census Tract 422.01, Virginia Beach city, Virginia",518100422011,1202,37,0,0,0,0,7,0,0,9,11,1098,812,104,49,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,51,810,42201,1,37,27,286,55,341,18
"Block Group 2, Census Tract 422.01, Virginia Beach city, Virginia",518100422012,1826,55,0,0,0,28,14,38,26,46,33,1664,1487,162,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42201,2,55,185,177,39,216,0
"Block Group 3, Census Tract 422.01, Virginia Beach city, Virginia",518100422013,363,0,0,0,9,8,7,12,8,18,24,363,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,51,810,42201,3,9,77,32,0,32,5
"Block Group 1, Census Tract 422.02, Virginia Beach city, Virginia",518100422021,995,0,0,0,29,17,9,21,57,55,13,960,852,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,51,810,42202,1,29,172,108,35,143,6
"Block Group 2, Census Tract 422.02, Virginia Beach city, Virginia",518100422022,1614,17,19,13,34,36,32,37,43,14,66,1587,1542,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42202,2,83,228,45,20,65,0
"Block Group 3, Census Tract 422.02, Virginia Beach city, Virginia",518100422023,774,17,3,32,35,29,27,20,13,9,12,758,607,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,51,810,42202,3,87,110,151,16,167,8
"Block Group 4, Census Tract 422.02, Virginia Beach city, Virginia",518100422024,863,0,35,26,10,12,21,0,10,8,0,850,816,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42202,4,71,51,34,0,34,0
